""	"review"
"1"	"New hotel, modern and stylish. Amazing rooftop area with views of the Sagrada Familia. Contemporary decor in lobby area, very fresh! Good rooms, I am so glad the new establishments are using floorboards instead of carpets. I think it is much more hygienic. Room had all the luxuries needed to make a comfortable stay. Their breakfast and lunch and bar downstairs is just amazing, and they managed to create a little piece of green paradise, infact they have alot of plants scattered across the hotel. It is in the perfect location, few minutes to the major tourist sites and within walking distance you will find plenty of places to dine in. I would recommend this 110% and would stay here again! Dear H S,  Thank you for taking your time to write such a lovely review.   We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found the room and the hotel location perfect for you.   Our staff works hard to fulfil the expectations of all the clients and it is always nice to hear that they have succeded. We will pass them your regards, they will be happy to know your opinion.   We hope to welcome you back really soon.   With our best wishes,  Pau Casals Revenue Manager "
"2"	"This was my first ever time visiting Barcelona and this hotel was excellently located and made the whole trip. We visited in October and whilst the weather wasn't sunbathing weather we still had chance to enjoy the rooftop pool during the day as well as enjoying a drink on the terrace overlooking the Sagrada Familia at night.  The room was beautifully decorated and all the little additions such as the quirky statuettes made it even more special, my only gripe was that the view overlooked a very industrial area, however this cannot be helped as it is a city centre hotel and not a beach front one.  Overall this was a superb stay which I will recommend to everyone if I know they are travelling to Barcelona in future Dear z6024MUmarkl,  Thank you for such a nive review!  We are really glad to know that you have enjoyed our privilege location in the center of the city but in the quiet area of l'Eixample.  We are happy that you have enjoyed our hotel and swimming pool.  For us, is really important that all the Barcelona 1882 staff exceeded your expectations.   Will be a pleasure for us to welcome you again very soon,  With best regards,  Pau Casals Revenue Manager "
"3"	"When looking for a nice getaway in Barcelona city center we were looking for a nice hotel with rooftop pool. The 1882 had much more to offer than that. Not only is it marvellous with a modern and nature inspired decoration, but it also has the most thoughtful staff (Yasmina always was looking for the best service for us) and commits to serious responsible tourism that is a value close to my heart. The pool and rooftop terrace are extremely nice and despite the time of the year we were able to enjoy the quiet clean and comfy outdoor area. The hotel takes safety seriously and had a thorough protocol in place that made us feel safe from the beginning to the end. I recommend to all Barcelona locals to book the hotel for a night or 2 and have some summer vibe away from the beach and the worries of covid. Would strongly recommend/want to come back… Dear Clemd1711,  Thank you for such a nive review!  We are really glad to know that you have enjoyed our privilege location in the center of the city but in the quiet area of l'Eixample.  We are happy that you have enjoyed our hotel, breakfast and swimming pool.  For us, is really important that all the Barcelona 1882 staff exceeded your expectations.   Will be a pleasure for us to welcome you again very soon,  With best regards,  Pau Casals Revenue Manager "
"4"	"We’ve just arrived back after staying for 7 nights it was perfect very clean, modern and really nice decor! Perfect location maximum 15 min taxi to most places the bikes at the hotel you can rent are perfect we used them a few times really nice extra we wasn’t expecting. Pool area is really nice and comftable I would say good value for money. Friendly staff always, highly recommend this hotel and would defiantly like to come back! Dear Ellielouiseh2020,  Thank you for taking your time to write such a lovely review.   We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found the room and the hotel location perfect for you.   Our staff works hard to fulfil the expectations of all the clients and it is always nice to hear that they have succeded. We will pass them your regards, they will be happy to know your opinion.   We hope to welcome you back really soon.   With our best wishes,  Pau Casals Revenue Manager "
"5"	"A real top class hotel in Barcelona! Excellent staff that will go the extra mile to make you feel at home. Quallity breakfast and on the top level of the hotel a view on Sagrada Familia (nice to take pictures) The hotel is very clean and on walking distance of the metro (Sagraga familia is closest) - 10 min from town centre. I will go back next year 2021 for sure. Dear FrankvS5554EN,  Thank you for such a nice review!   We are really happy to know that you have enjoyed our privilege location, thinking that is the best option in the city.   All the Barcelona 1882 staff work hard every day in order to make you feel at home.   We hope to have the opportunity to welcome you very soon,   Best regards,  Pau Casals Revenue Manager "
"6"	"It is located within ten minutes walk to the nearby underground station and the famous Sagrada Família. I stayed there from 24 to 27 January 2020.  The room was spacious, clean and tidy. The staff was friendly and helpful. He gave me clear introduction of the hotel and the check in procedure was less than ten minutes. There was free wifi inside the room. It had a spacious, cosy and comfortable lobby. Moreover, it had a rooftop swimming which overlooking the Sagrada Família. Although I could not swim at that time due to cold weather but it provided a relaxing environment, I could enjoy sunbath, reading book there. Furthermore, there was a lot of restaurants nearby, it was very convenient no matter for dinning or travelling around. Jump to the conclusion, according to its service,… Dear Wingc633  Thank you for such a nive review!  We are really glad to know that you have enjoyed our privilege location in the center of the city but in the quiet area of l'Eixample.  We are happy that you have enjoyed our hotel, breakfast and swimming pool.  For us, is really important that all the Barcelona 1882 staff exceeded your expectations.   Will be a pleasure for us to welcome you again very soon,  Stay Safe!!  With best regards,  Pau Casals Revenue Manager "
"7"	"We purchased a package tour to Barcelona and upgraded to the Hotel Barcelona 1882.  I must admit I wasn't expecting much, but what a pleasant surprise we had!  The hotel is lovely!  The rooms and public spaces are simply yet stylishly decorated and the staff were friendly and helpful.  Surprise highlights of the hotel include the 5:00 \"happy hour\" with free wine and hors d'oeuevres, the Saturday evening free walking tour of La Sagrada Familia (exterior only) and the beautiful terrace with view of La Sagrada Familia -- perfect for family selfies!  Location-wise, the hotel is just a short walk to La Sagrada Familia and a metro station that can take you anywhere else in the city you might want to go.  Three small complaints - we asked for a restaurant recommendation nearby and got… Dear Mominmaine2019  Thank you for taking your time to write such a lovely review.   We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found the room and the hotel location perfect for you.   Our staff works hard to fulfil the expectations of all the clients and it is always nice to hear that they have succeded. We will pass them your regards, they will be happy to know your opinion.   Thank you regardless for your very important feedback, your comments will be taken into consideration as we work to improve our very high standards of service.   We hope to welcome you back really soon.   With our best wishes,  Pau Casals Revenue Manager "
"8"	"It's very rare to find a hotel that has got so many things right from the tip of its amazing roof terrace to the basement conservatory with walls bedecked with plants. Nothing has been scrimped on with every detail of design being superb. But this hotel isn't just about looks, it's about substance and sustainability as well. A new-build with character - if only there were more hotels like it. It's position is perfect for business and shopping and a short hop to the more touristy areas (we walked one day). Can't wait to go back. Dear Camdencalling,  Thank you for taking your time to write such a lovely review.   We are happy to hear that you have injoyed your stay in Hotel Barcelona 1882 and that you found the room and the hotel location perfect for you.   Our staff works hard to fulfil the expectations of all the clients and it is always nice to hear that they have succeded. We will pass them your regards, they will be happy to know your opinion.   We hope to welcome you back really soon.   With our best wishes,  Pau Casals Revenue Manager "
"9"	"This hotel is brilliant. Great location, thoughtful and exciting decor, friendly staff. It’s not just a bed for the night, it really is the ‘hotel’ experience and you feel very lucky to be staying there! Location is minutes from Sagrada Familia so you can get around easily but you will also want to spend some time in the hotel itself enjoying the facilities, general ambience and your room.  Dear LowriM,  Thank  you for sharing your experience in our Hotel!  We are glad that you have enjoyed our room and our location.   The staff would be happy to welcome you again the following time you are back in Barcelona!  With our best wishes,  Pau Casals Revenue Manager "
"10"	"The Barcelona 1882 is a true surprise in every which way. Right around the corner of one of the most amazing architectural challenges of the world, Antoni Gaudí's Modernist temple 'La Sagrada Família', the hotel is a true jewel of good taste and first class, down to earth staff, hidden behind a rather neutral mask - just in the style of the Catalan Bourgeoisie which has always made Barcelona the 'secret capital' of Spain and one of the most exciting cities in Europe.  My room was excellent: not huge, but extremely comfortable, silent and clean. And the bathroom is just top with a big rain shower and a separate toilet. Dear Thomasenroses,  Thank you for taking the time to post this nice review from your recent stay at the Hotel Barcelona 1882.  We are very pleased to read that you had a wonderful stay with us.  We hope to be welcoming you back in the hotel in the near future.   Best regards.  Pau Casals Revenue Manager Hotel Barcelona 1882 "
